count_mean	count_var	fitted_var
0.211105	0.034127	0.211105
0.212108	0.13497	0.212108
0.213463	0.118187	0.213463
0.213774	0.0531796	0.213774
0.215062	0.00271407	0.215062
0.215558	0.0468326	0.215558
0.215766	0.117431	0.215766
0.216785	0.0122036	0.216785
0.216878	0.0570918	0.216878
0.21727	0.116954	0.21727
0.21727	0.116954	0.21727
0.217282	0.116951	0.217282
0.217297	0.00908601	0.217297
0.217304	0.0239515	0.217304
0.218145	0.00609121	0.218145
0.218346	0.00434893	0.218346
0.219039	0.0180015	0.219039
0.220725	0.0342356	0.220725
0.222209	0.14813	0.222209
0.222357	0.115443	0.222357
0.223963	0.016394	0.223963
0.224417	0.082196	0.224417
0.224919	0.11474	0.224919
0.225543	0.053936	0.225543
0.225639	0.0149969	0.225639
0.227022	0.114193	0.227022
0.227221	0.112881	0.227221
0.228176	0.0402805	0.228176
0.228503	0.0229802	0.228503
0.228963	0.0901376	0.228963
0.229109	0.157473	0.229109
0.232471	0.0388404	0.232471
0.232609	0.00744227	0.232609
0.233444	0.0861838	0.233444
0.235072	0.0566451	0.235072
0.236302	0.0303757	0.236302
0.236374	0.11208	0.236374
0.238786	0.0121754	0.238786
0.238802	0.0991021	0.238802
0.240564	0.173613	0.240564
0.240564	0.173613	0.240564
0.240814	0.00617151	0.240814
0.242238	0.0130822	0.242238
0.242357	0.0406019	0.242357
0.243946	0.124267	0.243946
0.244544	0.0246708	0.244544
0.244687	0.0178917	0.244687
0.244895	0.00889234	0.244895
0.24512	0.139523	0.24512
0.24549	0.134899	0.24549
0.246475	0.123934	0.246475
0.246562	0.00523513	0.246562
0.248796	0.00836547	0.248796
0.251073	0.0230861	0.251073
0.251129	0.0761939	0.251129
0.251465	0.0312103	0.251465
0.252134	0.0646319	0.252134
0.25251	0.191284	0.25251
0.255826	0.166969	0.255826
0.257483	0.178904	0.257483
0.257747	0.199301	0.257747
0.257967	0.146748	0.257967
0.258096	0.0710578	0.258096
0.259285	0.109123	0.259285
0.259682	0.146268	0.259682
0.259879	0.0743458	0.259879
0.262169	0.00685186	0.262169
0.262485	0.0342386	0.262485
0.262929	0.0407356	0.262929
0.264409	0.00940021	0.264409
0.265031	0.167165	0.265031
0.267139	0.0436068	0.267139
0.267172	0.0742787	0.267172
0.269344	0.217638	0.269344
0.27245	0.00426303	0.27245
0.274899	0.0203036	0.274899
0.275159	0.227138	0.275159
0.275159	0.227138	0.275159
0.277615	0.0316256	0.277615
0.280728	0.000743106	0.280728
0.281191	0.0673509	0.281191
0.281799	0.0381195	0.281799
0.284206	0.0504268	0.284206
0.284239	0.0944724	0.284239
0.284912	0.0435478	0.284912
0.286855	0.0641503	0.286855
0.286926	0.134338	0.286926
0.288336	0.0889656	0.288336
0.288726	0.00946258	0.288726
0.288917	0.25042	0.288917
0.289716	0.0266503	0.289716
0.290421	0.219438	0.290421
0.291066	0.156967	0.291066
0.291433	0.0128987	0.291433
0.291594	0.0278176	0.291594
0.291721	0.0279978	0.291721
0.292207	0.00603535	0.292207
0.292723	0.0118507	0.292723
0.294252	0.217725	0.294252
0.295508	0.217182	0.295508
0.29668	0.0241089	0.29668
0.296715	0.215744	0.296715
0.296996	0.0128229	0.296996
0.297171	0.0158033	0.297171
0.297983	0.204672	0.297983
0.299018	0.244889	0.299018
0.300092	0.215282	0.300092
0.301682	0.0923582	0.301682
0.302675	0.274837	0.302675
0.303012	0.275449	0.303012
0.30322	0.0102308	0.30322
0.304292	0.150209	0.304292
0.304898	0.165461	0.304898
0.305236	0.279507	0.305236
0.305236	0.279507	0.305236
0.305237	0.149022	0.305237
0.305478	0.279951	0.305478
0.306203	0.123575	0.306203
0.307687	0.0994051	0.307687
0.307862	0.092873	0.307862
0.308827	0.212011	0.308827
0.310364	0.0469249	0.310364
0.312211	0.0455149	0.312211
0.312547	0.208098	0.312547
0.313067	0.170952	0.313067
0.313671	0.0789423	0.313671
0.314058	0.130808	0.314058
0.314815	0.106012	0.314815
0.315336	0.273647	0.315336
0.315336	0.273647	0.315336
0.315635	0.235724	0.315635
0.316148	0.144651	0.316148
0.316562	0.115508	0.316562
0.316691	0.272907	0.316691
