count_mean	count_var	fitted_var
0.0472513	0.00149397	0.0472513
0.0472513	0.00149397	0.0472513
0.0472513	0.00149397	0.0472513
0.0473386	0.00448188	0.0473386
0.0483032	0.00119427	0.0483032
0.0489949	0.00149945	0.0489949
0.0497857	0.00173762	0.0497857
0.0500879	0.00149562	0.0500879
0.0500879	0.00149562	0.0500879
0.0500879	0.00149562	0.0500879
0.0501752	1.76234e-05	0.0501752
0.0501752	1.76234e-05	0.0501752
0.0502624	0.00151106	0.0502624
0.0506512	0.00182954	0.0506512
0.0512468	0.00152451	0.0512468
0.0512834	0.00525998	0.0512834
0.0522533	5.09285e-05	0.0522533
0.0523076	0.00547216	0.0523076
0.0525984	0.00553318	0.0525984
0.053099	0.00211703	0.053099
0.053099	0.00211703	0.053099
0.053099	0.00211703	0.053099
0.0531863	0.002116	0.0531863
0.0531863	0.002116	0.0531863
0.0538021	0.00578932	0.0538021
0.0542073	0.0018926	0.0542073
0.0569004	6.6407e-05	0.0569004
0.0573426	0.00264127	0.0573426
0.0595243	0.00295934	0.0595243
0.0627213	0.00342362	0.0627213
0.0627691	0.00787991	0.0627691
0.0627691	0.00787991	0.0627691
0.0629436	0.00198099	0.0629436
0.0630308	0.00348867	0.0630308
0.0631181	0.00796778	0.0631181
0.0631181	0.00796778	0.0631181
0.0632573	0.00350792	0.0632573
0.0633685	0.00337118	0.0633685
0.0637741	0.00203508	0.0637741
0.0658674	0.000412877	0.0658674
0.0658674	0.000412877	0.0658674
0.0658744	0.00301907	0.0658744
0.0659547	0.000426089	0.0659547
0.0660419	0.00341073	0.0660419
0.0660419	0.00341073	0.0660419
0.0660419	0.00341073	0.0660419
0.0664307	0.00222298	0.0664307
0.0680871	0.00431937	0.0680871
0.0689658	0.00242944	0.0689658
0.0693546	0.000634475	0.0693546
0.069619	0.00332632	0.069619
0.0697561	0.00336454	0.0697561
0.0698778	0.000308751	0.0698778
0.0698996	0.000683826	0.0698996
0.0714129	0.0101996	0.0714129
0.0718897	0.0050239	0.0718897
0.0721416	0.0104088	0.0721416
0.0727551	0.0105866	0.0727551
0.0728046	0.00452976	0.0728046
0.0730349	0.0013341	0.0730349
0.0744044	0.000249859	0.0744044
0.0748135	0.0111941	0.0748135
0.0768556	0.00295964	0.0768556
0.0781241	0.00630415	0.0781241
0.0781241	0.00630415	0.0781241
0.0783175	0.00341335	0.0783175
0.0784613	0.0123124	0.0784613
0.0787066	0.0014689	0.0787066
0.0787231	0.00348046	0.0787231
0.0788103	0.00647935	0.0788103
0.0788976	0.0124497	0.0788976
0.081048	0.0131376	0.081048
0.0812575	0.000593141	0.0812575
0.0813133	0.00331813	0.0813133
0.081647	0.00032611	0.081647
0.0817342	0.00183053	0.0817342
0.0837793	0.00759993	0.0837793
0.0845331	0.0142917	0.0845331
0.0845708	0.000747522	0.0845708
0.0845708	0.000747522	0.0845708
0.0846581	0.00075747	0.0846581
0.0853611	0.00438539	0.0853611
0.085484	0.000696757	0.085484
0.0859891	0.00378207	0.0859891
0.0874947	0.0047447	0.0874947
0.0879211	0.0086301	0.0879211
0.0886902	0.00422182	0.0886902
0.0901687	0.0162608	0.0901687
0.0923297	0.00472261	0.0923297
0.0924229	0.017084	0.0924229
0.0934254	0.00790568	0.0934254
0.0935169	0.0174908	0.0935169
0.0946621	0.0104865	0.0946621
0.0946771	0.0179275	0.0946771
0.0946771	0.0179275	0.0946771
0.0966503	0.00488915	0.0966503
